+=============================+=============================+===============================================================================================================+
| Launch Setup Clock          | Launch Hold Clock           | Pin                                                                                                           |
+=============================+=============================+===============================================================================================================+
| clk_out1_design_1_clk_wiz_0 | clk_out1_design_1_clk_wiz_0 | design_1_i/dotmatrix_ip_0/inst/dotmatrix_ip_slave_lite_v1_0_S00_AXI_inst/cntr/tx_shift_reg[35]/D              |
| clk_out1_design_1_clk_wiz_0 | clk_out1_design_1_clk_wiz_0 | design_1_i/dotmatrix_ip_0/inst/dotmatrix_ip_slave_lite_v1_0_S00_AXI_inst/cntr/tx_shift_reg[49]/D              |
| clk_out1_design_1_clk_wiz_0 | clk_out1_design_1_clk_wiz_0 | design_1_i/dotmatrix_ip_0/inst/dotmatrix_ip_slave_lite_v1_0_S00_AXI_inst/cntr/tx_shift_reg[20]/D              |
| clk_out1_design_1_clk_wiz_0 | clk_out1_design_1_clk_wiz_0 | design_1_i/dotmatrix_ip_0/inst/dotmatrix_ip_slave_lite_v1_0_S00_AXI_inst/cntr/tx_shift_reg[53]/D              |
| clk_out1_design_1_clk_wiz_0 | clk_out1_design_1_clk_wiz_0 | design_1_i/dotmatrix_ip_0/inst/dotmatrix_ip_slave_lite_v1_0_S00_AXI_inst/cntr/tx_shift_reg[52]/D              |
| clk_out1_design_1_clk_wiz_0 | clk_out1_design_1_clk_wiz_0 | design_1_i/dotmatrix_ip_0/inst/dotmatrix_ip_slave_lite_v1_0_S00_AXI_inst/cntr/tx_shift_reg[50]/D              |
| clk_out1_design_1_clk_wiz_0 | clk_out1_design_1_clk_wiz_0 | design_1_i/dotmatrix_ip_0/inst/dotmatrix_ip_slave_lite_v1_0_S00_AXI_inst/cntr/tx_shift_reg[22]/D              |
| clk_out1_design_1_clk_wiz_0 | clk_out1_design_1_clk_wiz_0 | design_1_i/dotmatrix_ip_0/inst/dotmatrix_ip_slave_lite_v1_0_S00_AXI_inst/cntr/tx_shift_reg[54]/D              |
| clk_out1_design_1_clk_wiz_0 | clk_out1_design_1_clk_wiz_0 | design_1_i/dotmatrix_ip_0/inst/dotmatrix_ip_slave_lite_v1_0_S00_AXI_inst/cntr/tx_shift_reg[51]/D              |
